index,title,url,author,contain,subject,abstract
2023-10-20 Physics New submissions 11,Adaptive Fine-tuning based Transfer Learning for the Identification of  MGMT Promoter Methylation Status,https://arxiv.org/abs/2310.12373,"Erich Schmitz, Yunhui Guo, Jing Wang",New submissions,Medical Physics (physics.med-ph),"Glioblastoma Multiforme (GBM) is an aggressive form of malignant brain tumor with a generally poor prognosis. Treatment usually includes a mix of surgical resection, radiation therapy, and akylating chemotherapy but, even with these intensive treatments, the 2-year survival rate is still very low. O6-methylguanine-DNA methyltransferase (MGMT) promoter methylation has been shown to be a predictive bio-marker for resistance to chemotherapy, but it is invasive and time-consuming to determine the methylation status. Due to this, there has been effort to predict the MGMT methylation status through analyzing MRI scans using machine learning, which only requires pre-operative scans that are already part of standard-of-care for GBM patients. We developed a 3D SpotTune network with adaptive fine-tuning capability to improve the performance of conventional transfer learning in the identification of MGMT promoter methylation status. Using the pretrained weights of MedicalNet coupled with the SpotTune network, we compared its performance with two equivalent networks: one that is initialized with MedicalNet weights, but with no adaptive fine-tuning and one initialized with random weights. These three networks are trained and evaluated using the UPENN-GBM dataset, a public GBM dataset provided by the University of Pennsylvania. The SpotTune network showed better performance than the network with randomly initialized weights and the pre-trained MedicalNet with no adaptive fine-tuning. SpotTune enables transfer learning to be adaptive to individual patients, resulting in improved performance in predicting MGMT promoter methylation status in GBM using MRIs as compared to conventional transfer learning without adaptive fine-tuning. "
2023-10-20 Physics New submissions 12,Extended Interaction Length Laser-Driven Acceleration in a Tunable  Dielectric Structure,https://arxiv.org/abs/2310.12384,"Sophie Crisp, Alexander Ody, Joel England, Pietro Musumeci",New submissions,Accelerator Physics (physics.acc-ph); Optics (physics.optics),"The development of long, tunable structures is critical to increasing energy gain in laser-driven dielectric accelerators (DLAs). Here we combine pulse-front-tilt illumination with slab-geometry structures assembled by precisely aligning off-the-shelf 4~mm long transmission gratings to achieve up to 200 keV energy modulation for 6 MeV injected electrons. The effective interaction length is longer than 1~mm, limited by dephasing of the accelerated particles in the structure. The piezo-based independent mounting system for the gratings allows tuning of the gap and field distribution inside the structure. "
2023-10-20 Physics New submissions 13,What is the meaning of physical quantity $ν$ in the expression of  photon energy $hν$?,https://arxiv.org/abs/2310.12390,"Xingchu Zhang, Weilong She",New submissions,Optics (physics.optics),"It is well known that, for an incident light of not so high intensity and in a certain range of frequency, the stopping voltage of photoelectric effect is independent of the intensity but dependent on the frequency of the light, which is described by the equation $V = h\nu /e - {W_0}/e$, where $V$ is the stopping voltage, $h$ is the Planck constant, $\nu$ is the frequency of incident light, $e$ is the electron charge, and $W_0$ is the work function. It means that the larger the frequency of incident light, the higher the stopping voltage is. However, the present experiment finds that for a non-monochromatic incident light, the stopping voltage is not determined by the maximum frequency component of the incident light, but by the maximum center frequency of all the wave train components (with different center frequencies) involved in the incident light, that is to say, in the photon energy expression $h\nu$, physical quantity $\nu$ does not refer to the frequency of a monochromatic light, but represents the center frequency of a wave train spectrum. The spectral bandwidth of a wave train component can be as large as 122 nm in visible and near-infrared region. This should arouse more attention in the study of energy exchange between light and matter. "
2023-10-20 Physics New submissions 14,Experimental characterization of thermionic surface cooling in  thermionic discharge,https://arxiv.org/abs/2310.12412,"Junhwi Bak (1), Albina Tropina (1), James Creel (1), Richard B. Miles (1) ((1) Texas A&M University)",New submissions,Plasma Physics (physics.plasm-ph); Applied Physics (physics.app-ph),"In this work, the thermionic cooling effect during thermionic discharges with parallel plate electrodes at 1 Torr is investigated. Time-resolved observation of electron emission and surface temperature is realized in addition to the typical steady state characterization. Surface cooling by the electron emission, initiated by plasma ignition, is directly captured at its onset and an estimated cooling capacity of 1.6 \pm 0.2 MW/m^2 is observed. The present work provides experimental evidence of considerable surface cooling achieved by thermionic cooling. This result indicates that thermionic cooling can be a promising thermal protection method at elevated temperatures, such as those encountered by hypersonic vehicle leading edges in flight. "
2023-10-20 Physics New submissions 15,Relativistic calculation of non-dipole effects in high harmonic  generation,https://arxiv.org/abs/2310.12473,"I. A. Ivanov, Kyung Taec Kim",New submissions,Atomic Physics (physics.atom-ph),"We present results of relativistic calculations of even order harmonic generation from various atomic targets. The even order harmonics appear due to the relativistic non-dipole effects. We take these relativistic effects into account by using an approach based on the solution of the time-dependent Dirac equation. The spectra of the non-dipole even harmonics look qualitatively similar to the spectra of the dipole harmonics obeying the same classical cutoff rule. The temporal dynamics of the formation of the non-dipole harmonics is, however, distinctly different from the process of dipole harmonics formation. Even order harmonics emission is strongly suppressed at the beginning of the laser pulse, and the emission times of the non-dipole harmonics are shifted with respect to the bursts of the dipole emission. These features are partly explained by a simple modification of the classical three-step model which takes into account selection rules governing the emission of harmonic photons. "
2023-10-20 Physics New submissions 16,Linear Coupling of Transverse Betatron Oscillations. Dynamic Stability  and Invariants of Motion,https://arxiv.org/abs/2310.12479,"Stephan I. Tzenov, Zhichu Chen, Hailong Wu",New submissions,Accelerator Physics (physics.acc-ph); Plasma Physics (physics.plasm-ph),"Based on the technique of the discrete one-turn transfer maps, the problem of linear coupling between horizontal and vertical betatron oscillations in an accelerator has been treated exactly and entirely in explicit form. The stability region in the fractional part of the horizontal and the vertical betatron tune space as a function of the linear coupling strength, has been obtained, and the increment/decrement of the horizontal and the vertical betatron oscillations in the case of the linear sum resonance has been shown to be approximately equal to the half of the coupling strength. The normal form parameterization of the one-turn linear map with horizontal-to-vertical coupling has been developed in detail in the spirit of the Edwards and Teng formalism. The motion in the normal mode in the new normal form coordinates is decoupled implying that two independent Courant-Snyder invariants exist, which have been found explicitly. "
2023-10-20 Physics New submissions 17,Dynamics of a film flowing down a granular chain,https://arxiv.org/abs/2310.12482,Kishorkumar Sarva,New submissions,Fluid Dynamics (physics.flu-dyn),"We investigate the effects of fibre morphologies, such as single and granular chain with torus bead on liquid film evolution using experimental and axi-symmetric numerical simulations with a one-fluid formulation. We introduce a non-dimensional parameter 'Bead Ratio'($BR$), that is, the ratio of bead diameter to the film height. When both the $BR$ and its distance from the nozzle exceed critical values, selection mechanism leading to development of 'dominating' waves: from regularly spaced droplets to coarsening or droplet merging. The two mechanisms, influenced by the $BR$ for a single bead, contribute to droplet merging: the formation of the downstream healing length, which precipitates the initial stage, and it's oscillating behaviour resulting in droplet merging. When the bead position is away from the healing length far from the nozzle, the transient simulations capture behavior similar to the finite amplitude perturbations at the inlet. However, when the bead is within the healing length, the film evolution has only coarsening effect on the droplet spacing. When the bead spacing on a granular chain is less than the droplet spacing of a Rayleigh-Plateau regime is significantly altered. "
2023-10-20 Physics New submissions 18,Linear analysis of flow mode transition triggered by finite-sized  particles in Rayleigh-Bénard convection,https://arxiv.org/abs/2310.12488,Dai Shi,New submissions,Fluid Dynamics (physics.flu-dyn),"A mathematical model to study the flow evolution in RB convection laden with finite-sized particles after a flow perturbation is developed with an Euler-Lagrange viewpoint. A linear analysis is conducted by combining the averaged flow-scale momentum equation with the averaged particle-scale heat exchange equation. A flow mode of regular oscillation, which is triggered by the heat exchange process between every single particle and its surrounding fluid element, is predicted by this model. Three time scales, namely $\tau_f $, $\tau_p$, and $\Delta t$, are shown to be involved in the heat exchange process, giving significance to the temperature distribution inside the single particle. By assuming $\tau_f / \tau_p \gg 1$, the detailed correlation between the oscillation period and $\kappa_p / \kappa_f $ is established, suggesting a flow mode transition with the change of heat diffusivity ratio of particle to fluid. "
2023-10-20 Physics New submissions 19,A novel nuclear recoil calibration for liquid noble gas detectors,https://arxiv.org/abs/2310.12496,"Fengbo Gu, Jiangfeng Zhou, Junhui Liao, Yuanning Gao, Zhuo Liang, Meiyuenan Ma, Zhaohua Peng, Lifeng Zhang, Lei Zhang, Jian Zheng",New submissions,Instrumentation and Detectors (physics.ins-det); Instrumentation and Methods for Astrophysics (astro-ph.IM),"A lot of Dark Matter (DM) models predict single-scattering Nuclear Recoil (NR) events as potential signals. Characterization of a detector's NR response is crucial for underground DM direct detection projects. The traditional calibrating methods characterize a detector with $\sim$ keV - MeV neutrons emitted from an accelerator, a neutron generator, or a radioactive source. These methods could be improved in several aspects: (a) the neutrons's energy could be more mono-energetic, (b) the to-be-calibrated NR energy should line up with the ROI (Research Of Interest) of the experiment, (c) the calibrating beam's flux should be appropriate. Accordingly, in the paper, we introduce a novel calibration method in which the beam of the target material (instead of neutrons) will be implemented to impinge the detector. For instance, calibrating a liquid helium detector with a helium beam. Since the helium beam can (i) be tuned precisely to have $\sim < $1\% energy jitter (so as the recoil energy's uncertainty), (ii) have an energy interval from $\sim$ 100 eV to tens of keV (depending on the configuration), and (iii) have a tunable flux down to 10$^{10}$/s. Since these unique advantages can also be applied to other noble gases; therefore, we believe the method can be implemented to calibrate other liquid noble gas detectors' NR response. "
2023-10-20 Physics New submissions 20,Quantitative evaluation of simultaneous spatial and temporal  regularization in liver perfusion studies using low-dose dynamic  contrast-enhanced CT,https://arxiv.org/abs/2310.12499,"Kenya Murase, Atsushi Nakamoto, Noriyuki Tomiyama",New submissions,Medical Physics (physics.med-ph),"The purpose of this study was to quantitatively evaluate the performance of different simultaneous spatial and temporal regularizers in liver perfusion studies using low-dose dynamic contrast-enhanced computed tomography (DCE-CT). A digital liver phantom was used to simulate chronic liver disease (CLD) and hepatocellular carcinoma (HCC) based on clinical data. Low-dose DCE-CT images were reconstructed using regularizers and a primal-dual algorithm. Subsequently, hepatic perfusion parameter (HPP) images were generated using a dual-input single-compartment model and linear least-squares method. In the CLD model, the effect of regularizers on the input functions (IFs) was examined by calculating the areas under the curves (AUCs) of the IFs, and the HPP estimation accuracy was evaluated by calculating the error and coefficient of variation (CV) between the HPP values obtained by the above methods and true values. In the HCC model, the ratios of the mean HPP values inside and outside the tumor were calculated. The AUCs of IFs decreased with increasing regularization parameter (RP) values. Although the AUC of arterial IF did not significantly depend on the regularizers, that of portal IF did. The error and CV were reduced using low-rank and sparse decomposition (LRSD). Total generalized variation (TGV) combined with LRSD (LTGV) was generally superior to the other regularizers in terms of HPP estimation accuracy and range of available RP values in both the CLD and HCC models. However, striped artifacts were more remarkable in the HPP images obtained by the TGV and LTGV than in those obtained by the other regularizers. The results suggest that the LRSD and LTGV are useful for improving the accuracy of HPP estimation using low-dose DCE-CT and for enhancing its practicality. This study will help select a suitable regularizer and/or RP value for low-dose DCE-CT liver perfusion studies. "
2023-10-20 Physics New submissions 21,Quantum Effects on Dynamic Structure Factors in Dense Magnetized Plasmas,https://arxiv.org/abs/2310.12503,"Tushar Mondal, Gianluca Gregori",New submissions,Plasma Physics (physics.plasm-ph); High Energy Astrophysical Phenomena (astro-ph.HE),"We extend the classical magnetohydrodynamics formalism to include nonlocal quantum behavior via the phenomenological Bohm potential. We then solve the quantum magnetohydrodynamics equations to obtain a new analytical form of the dynamic structure factor (DSF), a fundamental quantity linking theory and experiments. Our results show that the three-peak structure -- one central Rayleigh peak and two Brillouin peaks -- of the DSF arising from quantum hydrodynamic fluctuations becomes (in general) a five-peak structure -- one central Rayleigh peak and two pairs of peaks associated with fast and slow magnetosonic waves. The Bohm contribution influences the positions and characteristics (height, width, and intensity) of the peaks by introducing three significant modifications: (a) an increase in effective thermal pressure, (b) a reduction in the adiabatic index, and (c) an enhancement of effective thermal diffusivity. The multiple DSF peaks enable concurrent measurements of diverse plasma properties, transport coefficients, and thermodynamic parameters in magnetized dense plasmas. The potential for experimental validation of our theory looms large, particularly through future experiments conducted at state-of-the-art laser facilities. "
2023-10-20 Physics New submissions 22,Conceptual design and progress of transmitting $\sim$ MV DC HV into 4 K  LHe detectors,https://arxiv.org/abs/2310.12504,"Zhuo Liang, Fengbo Gu, Jiangfeng Zhou, Junhui Liao, Yuanning Gao, Zhaohua Peng, Jian Zheng, Guangpeng An, Meiyuenan Ma, Lifeng Zhang, Lei Zhang, Xiuliang Zhao, Junfeng Xia, Gang Liu, Shangmao Hu",New submissions,Instrumentation and Detectors (physics.ins-det); Instrumentation and Methods for Astrophysics (astro-ph.IM),"A dual-phase TPC (Time Projection Chamber) is more advanced in characterizing an event than a single-phase one because it can, in principle, reconstruct the 3D (X-Y-Z) image of the event, while a single-phase detector can only show a 2D (X-Y) picture. As a result, more enriched physics is expected for a dual-phase detector than a single-phase one. However, to build such a detector, DC HV (High Voltage) must be delivered into the chamber (to have a static electric field), which is a challenging task, especially for an LHe detector due to the extremely low temperature, $\sim$ 4 K, and the very high voltage, $\sim$ MV (Million Volts). This article introduces a convincing design for transmitting $\sim$ MV DC into a 4 K LHe detector. We also report the progress of manufacturing a 100 kV DC feedthrough capable of working at 4 K. Surprisingly, we realized that the technology we developed here might be a valuable reference to the scientists and engineers aiming to build residential bases on the Moon or Mars. "
2023-10-20 Physics New submissions 23,"Comparison of the Resistivities of Nanostructured Films Made from  Silver, Copper-Silver and Copper Nanoparticle and Nanowire Suspensions",https://arxiv.org/abs/2310.12506,"Boris Polyakov, Aleksandrs Novikovs, Madara Leimane, Kevon Kadiwala, Martins Zubkins, Edgars Butanovs, Sven Oras, Elyad Damerchi, Veronika Zadin, Sergei Vlassov",New submissions,Applied Physics (physics.app-ph); Materials Science (cond-mat.mtrl-sci),"Spray deposition and inkjet printing of various nanostructures are emerging complementary methods for creating conductive coatings on different substrates. In comparison to established deposition techniques like vacuum metal coating and lithography-based metallization processes, spray deposition and inkjet printing benefit from significantly simplified equipment. However, there are number of challenges related to peculiar properties and behaviour of nanostructures that require additional studies. In present work, we investigate electroconductive properties and sintering behaviour of thin films produced from nanostructures of different metals (Ag, Cu and Cu-Ag) and different shapes (nanowires and spherical nanoparticles), and compare them to the reference Ag and Cu magnetron deposited films. Synthesized nanostructures were studied with transmission electron microscopy. Morphology and crystallinity of produced metal films were studied with scanning electron microscopy and X-ray diffraction. The electrical parameters were measured by the van der Pauw method. All nanowires-based films provided high conductivity and required only modest thermal treatment (200 C). To achieve sufficient sintering and conductivity of nanoparticles-based films, higher temperatures are required (300 C for Ag nanoparticles and 350 C for Cu and Cu-Ag nanoparticles). Additionally, stability of nanowires was studied by annealing the samples in vacuum conditions inside a scanning electron microscope at 500 C. "
2023-10-20 Physics New submissions 24,Real space iterative reconstruction for vector tomography (RESIRE-V),https://arxiv.org/abs/2310.12513,"Minh Pham, Xingyuan Lu, Arjun Rana, Stanley Osher, Jianwei Miao",New submissions,Medical Physics (physics.med-ph),"Tomography has had an important impact on the physical, biological, and medical sciences. To date, most tomographic applications have been focused on 3D scalar reconstructions. However, in some crucial applications, vector tomography is required to reconstruct 3D vector fields such as the electric and magnetic fields. Over the years, several vector tomography methods have been developed. Here, we present the mathematical foundation and algorithmic implementation of REal Space Iterative REconstruction for Vector tomography, termed RESIRE-V. RESIRE-V uses multiple tilt series of projections and iterates between the projections and a 3D reconstruction. Each iteration consists of a forward step using the Radon transform and a backward step using its transpose, then updates the object via gradient descent. Incorporating with a 3D support constraint, the algorithm iteratively minimizes an error metric, defined as the difference between the measured and calculated projections. The algorithm can also be used to refine the tilt angles and further improve the 3D reconstruction. To validate RESIRE-V, we first apply it to a simulated data set of the 3D magnetization vector field, consisting of two orthogonal tilt series, each with a missing wedge. Our quantitative analysis shows that the three components of the reconstructed magnetization vector field agree well with the ground-truth counterparts. We then use RESIRE-V to reconstruct the 3D magnetization vector field of a ferromagnetic meta-lattice consisting of three tilt series. Our 3D vector reconstruction reveals the existence of topological magnetic defects with positive and negative charges. We expect that RESIRE-V can be incorporated into different imaging modalities as a general vector tomography method. "
2023-10-20 Physics New submissions 25,Light-enhanced van der Waals force microscopy,https://arxiv.org/abs/2310.12518,"Han Yu-Xiao, Bai Benfeng, Zhang Jian-Yu, Huang Jia-Tai, Feng Peng-Yi, Sun Hong-Bo",New submissions,Optics (physics.optics); Materials Science (cond-mat.mtrl-sci),"Atomic force microscope (AFM) generally works on the basis of manipulating absolute magnitude of van der Waals (vdW) force between the tip and specimen. The force is, however, less sensitive to alternation of atom species than to tip-sample separations, resulting in the difficulty of compositional identification, even under multi-modal strategies and other AFM variations. Here, we report a phenomenon of light enhancement of van der Waals force (LvF), and the enhancement factor is found specific to materials. The force difference prior and after illumination, instead of the tip-specimen force itself, is employed for discriminating heterogeneous phases. The corresponding LvF microscopy (LvFM) demonstrates not only a ultra-high compositional resolution represented by 20 dB enhancement factor and 150 times of the detection limit, but also a sub-10 nm lateral spatial resolution much smaller than the tip size of 20 nm. The simplicity of the opto-thermal mechanism, minuteness of excitation light power and wide availability of boosting lasers at various wavelengths imply broad applications of LvFM on nano-materials characterization, particularly on two-dimensional semiconductors that are promising as new generation of chip materials. "
